id,name,source
1.0.HCount.1.90usd,Poverty Headcount ($1.90 a day),LAC Equity Lab
1.0.HCount.2.5usd,Poverty Headcount ($2.50 a day),LAC Equity Lab
1.0.HCount.Mid10to50,Middle Class ($10-50 a day) Headcount,LAC Equity Lab
1.0.HCount.Ofcl,Official Moderate Poverty Rate-National,LAC Equity Lab
1.0.HCount.Poor4uds,Poverty Headcount ($4 a day),LAC Equity Lab
1.0.HCount.Vul4to10,Vulnerable ($4-10 a day) Headcount,LAC Equity Lab
1.0.PGap.1.90usd,Poverty Gap ($1.90 a day),LAC Equity Lab
1.0.PGap.2.5usd,Poverty Gap ($2.50 a day),LAC Equity Lab
1.0.PGap.Poor4uds,Poverty Gap ($4 a day),LAC Equity Lab
1.0.PSev.1.90usd,Poverty Severity ($1.90 a day),LAC Equity Lab
1.0.PSev.2.5usd,Poverty Severity ($2.50 a day),LAC Equity Lab
1.0.PSev.Poor4uds,Poverty Severity ($4 a day),LAC Equity Lab
1.1.HCount.1.90usd,Poverty Headcount ($1.90 a day)-Rural,LAC Equity Lab
1.1.HCount.2.5usd,Poverty Headcount ($2.50 a day)-Rural,LAC Equity Lab
1.1.HCount.Mid10to50,Middle Class ($10-50 a day) Headcount-Rural,LAC Equity Lab
1.1.HCount.Ofcl,Official Moderate Poverty Rate- Rural,LAC Equity Lab
1.1.HCount.Poor4uds,Poverty Headcount ($4 a day)-Rural,LAC Equity Lab
1.1.HCount.Vul4to10,Vulnerable ($4-10 a day) Headcount-Rural,LAC Equity Lab
1.1.PGap.1.90usd,Poverty Gap ($1.90 a day)-Rural,LAC Equity Lab
1.1.PGap.2.5usd,Poverty Gap ($2.50 a day)-Rural,LAC Equity Lab
1.1.PGap.Poor4uds,Poverty Gap ($4 a day)-Rural,LAC Equity Lab
1.1.PSev.1.90usd,Poverty Severity ($1.90 a day)-Rural,LAC Equity Lab
1.1.PSev.2.5usd,Poverty Severity ($2.50 a day)-Rural,LAC Equity Lab
1.1.PSev.Poor4uds,Poverty Severity ($4 a day)-Rural,LAC Equity Lab
1.1_ACCESS.ELECTRICITY.TOT,Access to electricity (% of total population),Sustainable Energy for All
1.1_TOTAL.FINAL.ENERGY.CONSUM,Total final energy consumption (TFEC),Sustainable Energy for All
1.1_YOUTH.LITERACY.RATE,"Literacy rate, youth total (% of people ages 15-24) ",Global Partnership for Education
1.2.HCount.1.90usd,Poverty Headcount ($1.90 a day)-Urban,LAC Equity Lab
1.2.HCount.2.5usd,Poverty Headcount ($2.50 a day)-Urban,LAC Equity Lab
1.2.HCount.Mid10to50,Middle Class ($10-50 a day) Headcount-Urban,LAC Equity Lab
1.2.HCount.Ofcl,Official Moderate Poverty Rate-Urban,LAC Equity Lab
1.2.HCount.Poor4uds,Poverty Headcount ($4 a day)-Urban,LAC Equity Lab
1.2.HCount.Vul4to10,Vulnerable ($4-10 a day) Headcount-Urban,LAC Equity Lab
1.2.PGap.1.90usd,Poverty Gap ($1.90 a day)-Urban,LAC Equity Lab
1.2.PGap.2.5usd,Poverty Gap ($2.50 a day)-Urban,LAC Equity Lab
1.2.PGap.Poor4uds,Poverty Gap ($4 a day)-Urban,LAC Equity Lab
1.2.PSev.1.90usd,Poverty Severity ($1.90 a day)-Urban,LAC Equity Lab
1.2.PSev.2.5usd,Poverty Severity ($2.50 a day)-Urban,LAC Equity Lab
